ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
2028_s_at	5.31e-07	3.95e-11	-122.252658	14.37385	-4.21081122	E2F1	E2F transcription factor 1
207177_at	5.31e-07	6.18e-11	113.185299	14.21752	2.94363896	PTGFR	prostaglandin F receptor (FP)
205024_s_at	5.31e-07	9.37e-11	-105.355645	14.05651	-3.3642933	RAD51	RAD51 recombinase
209493_at	5.31e-07	9.53e-11	105.056821	14.04981	4.90824487	PDZD2	PDZ domain containing 2
204767_s_at	5.67e-07	1.27e-10	-99.928857	13.92764	-2.67990223	FEN1	flap structure-specific endonuclease 1
204217_s_at	1.40e-06	3.77e-10	82.896455	13.39996	2.79999659	RTN2	reticulon 2
221586_s_at	1.91e-06	6.01e-10	-76.495673	13.13718	-2.20021911	E2F5	E2F transcription factor 5, p130-binding
204236_at	2.18e-06	8.83e-10	-71.578789	12.90341	-3.66886476	FLI1	Fli-1 proto-oncogene, ETS transcription factor
202701_at	2.18e-06	9.68e-10	70.454414	12.8455	0.82186683	BMP1	bone morphogenetic protein 1
201025_at	2.18e-06	9.80e-10	-70.307168	12.83778	-1.37692257	EIF5B	eukaryotic translation initiation factor 5B
201801_s_at	5.37e-06	2.71e-09	-59.008824	12.1403	-4.22538547	SLC29A1	solute carrier family 29 (equilibrative nucleoside transporter), member 1
218782_s_at	5.37e-06	2.89e-09	-58.343292	12.09172	-3.2588308	ATAD2	ATPase family, AAA domain containing 2
204267_x_at	6.95e-06	4.05e-09	-55.04171	11.83591	-3.77668688	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1
213092_x_at	7.13e-06	4.48e-09	-54.095146	11.75773	-2.99164904	DNAJC9	DnaJ (Hsp40) homolog, subfamily C, member 9
220658_s_at	7.30e-06	4.96e-09	-53.163875	11.67857	-3.18054642	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2
204602_at	7.30e-06	5.84e-09	51.686167	11.54816	6.70160268	DKK1	dickkopf WNT signaling pathway inhibitor 1
218594_at	7.30e-06	5.95e-09	-51.513373	11.53252	-1.64947778	HEATR1	HEAT repeat containing 1
212060_at	7.30e-06	6.09e-09	-51.310502	11.51404	-1.05020843	U2SURP	U2 snRNP-associated SURP domain containing
203696_s_at	7.30e-06	6.40e-09	-50.879662	11.47441	-2.60126194	RFC2	replication factor C (activator 1) 2, 40kDa
217814_at	7.30e-06	6.55e-09	-50.668098	11.45475	-0.8487321	CCDC47	coiled-coil domain containing 47
212188_at	7.84e-06	8.02e-09	48.927889	11.28792	1.93376553	KCTD12	potassium channel tetramerization domain containing 12
202117_at	7.84e-06	8.24e-09	48.701071	11.26548	1.00386523	ARHGAP1	Rho GTPase activating protein 1
204768_s_at	7.84e-06	8.28e-09	-48.663192	11.26172	-3.4244715	FEN1	flap structure-specific endonuclease 1
219212_at	7.84e-06	8.60e-09	-48.348125	11.23024	-1.63457125	HSPA14	heat shock 70kDa protein 14
219347_at	7.84e-06	8.88e-09	-48.082523	11.20345	-3.25350066	NUDT15	nudix (nucleoside diphosphate linked moiety X)-type motif 15
209336_at	7.84e-06	9.41e-09	-47.603457	11.15455	-2.35517501	PWP2	PWP2 periodic tryptophan protein homolog (yeast)
218732_at	7.84e-06	9.51e-09	-47.515241	11.14546	-1.38901604	PTRH2	peptidyl-tRNA hydrolase 2
202107_s_at	8.21e-06	1.03e-08	-46.852403	11.07633	-3.49843535	MCM2	minichromosome maintenance complex component 2
218619_s_at	8.53e-06	1.11e-08	-46.257318	11.01296	-2.15012503	SUV39H1	suppressor of variegation 3-9 homolog 1 (Drosophila)
213195_at	8.54e-06	1.15e-08	45.976144	10.98259	1.99625553	LYRM9	LYR motif containing 9
204947_at	8.75e-06	1.25e-08	-45.316931	10.91026	-3.11892032	E2F1	E2F transcription factor 1
209687_at	8.75e-06	1.26e-08	45.282431	10.90643	4.81311268	CXCL12	chemokine (C-X-C motif) ligand 12
210206_s_at	8.79e-06	1.37e-08	-44.623514	10.83244	-2.61398719	DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11
219105_x_at	8.79e-06	1.37e-08	-44.621087	10.83216	-2.66526838	ORC6	origin recognition complex, subunit 6
205414_s_at	8.79e-06	1.38e-08	44.55169	10.82427	3.89462534	ARHGAP44	Rho GTPase activating protein 44
213088_s_at	8.85e-06	1.43e-08	-44.282323	10.79347	-2.0118196	DNAJC9	DnaJ (Hsp40) homolog, subfamily C, member 9
213951_s_at	9.02e-06	1.50e-08	-43.917072	10.75126	-2.69965064	PSMC3IP	PSMC3 interacting protein
218002_s_at	9.02e-06	1.54e-08	43.724648	10.72882	7.52149567	CXCL14	chemokine (C-X-C motif) ligand 14
219262_at	9.29e-06	1.64e-08	-43.255602	10.67348	-3.89309695	SUV39H2	suppressor of variegation 3-9 homolog 2 (Drosophila)
201920_at	9.29e-06	1.67e-08	-43.123164	10.65769	-1.59982671	SLC20A1	solute carrier family 20 (phosphate transporter), member 1
204126_s_at	1.01e-05	1.87e-08	-42.270204	10.55429	-4.59269694	CDC45	cell division cycle 45
208795_s_at	1.01e-05	1.90e-08	-42.158785	10.54056	-2.14196557	MCM7	minichromosome maintenance complex component 7
202073_at	1.05e-05	2.06e-08	41.587022	10.46925	5.09469658	OPTN	optineurin
205393_s_at	1.05e-05	2.08e-08	-41.516685	10.46038	-2.28797543	CHEK1	checkpoint kinase 1
205539_at	1.05e-05	2.12e-08	41.378608	10.4429	2.81893116	AVIL	advillin
